tag,intro,description,syntax
INT,This article describes the formula syntax and usage of the INT?function in Microsoft Excel.  ,Description    Rounds a number down to the nearest integer.  ,Syntax    INT(number)    The INT function syntax has the following arguments:                      Number????Required. The real number you want to round down to an integer.          
MAX,"	    This article describes the formula syntax and usage of the MAX?function in Microsoft Excel.  ",Description    Returns the largest value in a set of values.  ,"Syntax    MAX(number1, [number2], ...)    The MAX function syntax has the following arguments:                      Number1, number2, ...????Number1 is required, subsequent numbers are optional. 1 to 255 numbers for which you want to find the maximum value.          "
MIN,This article describes the formula syntax and usage of the MIN?function in Microsoft Excel.  ,Description    Returns the smallest number in a set of values.  ,"Syntax    MIN(number1, [number2], ...)    The MIN function syntax has the following arguments:                      Number1, number2, ...????Number1 is optional, subsequent numbers are optional. 1 to 255 numbers for which you want to find the minimum value.          "
SLOPE,This article describes the formula syntax and usage of the SLOPE?function in Microsoft Excel.  ,"Description    Returns the slope of the linear regression line through data points in known_y's and known_x's. The slope is the vertical distance divided by the horizontal distance between any two points on the line, which is the rate of change along the regression line.  ","Syntax    SLOPE(known_y's, known_x's)    The SLOPE function syntax has the following arguments:                      Known_y's????Required. An array or cell range of numeric dependent data points.                              Known_x's????Required. The set of independent data points.          "
INTERCEPT,This article describes the formula syntax and usage of the SLOPE?function in Microsoft Excel.  ,"Description    Returns the slope of the linear regression line through data points in known_y's and known_x's. The slope is the vertical distance divided by the horizontal distance between any two points on the line, which is the rate of change along the regression line.  ","Syntax    SLOPE(known_y's, known_x's)    The SLOPE function syntax has the following arguments:                      Known_y's????Required. An array or cell range of numeric dependent data points.                              Known_x's????Required. The set of independent data points.          "
LOOKUP,"	    Use LOOKUP, one of the lookup and reference functions, when you need to look in a single row or column and find a value from the same position in a second row or column.    For example, let's say you know the part number for an auto part, but you don't know the price. You can use the LOOKUP function to return the price in cell H2 when you enter the auto part number in cell H1.         Use the LOOKUP function to search one row or one column. In the above example, we're searching prices in column D.     Use VLOOKUP to search one row or column, or to search multiple rows and columns (like a table). It's a much improved version of LOOKUP. Watch this video about how to use VLOOKUP.  ","There are two ways to use LOOKUP: Vector form and Array form                      Vector form: Use this form of LOOKUP to search one row or one column for a value. Use the vector form when you want to specify the range that contains the values that you want to match.  For example, if you want to search for a value in column A, down to row 6.                                       Array form: We strongly recommend using VLOOKUP or HLOOKUP instead of the array form. Watch this video about using VLOOKUP. The array form is provided for compatibility with other spreadsheet programs, but it's functionality is limited.           An array is a collection of values in rows and columns (like a table) that you want to search.  For example, if you want to search columns A and B, down to row 6.  LOOKUP will return the nearest match.  To use the array form, your data must be sorted.                     ","Vector form    The vector form of LOOKUP looks in a one-row or one-column range (known as a vector) for a value and returns a value from the same position in a second one-row or one-column range.       If the LOOKUP function can't find the lookup_value, the function matches the largest value in lookup_vector that is less than or equal to lookup_value.                          If lookup_value is smaller than the smallest value in lookup_vector, LOOKUP returns the #N/A error value.              "
VLOOKUP,"	    Use VLOOKUP, one of the lookup and reference functions, when you need to find things in a table or a range by row. For example, look up a price of an automotive part by the part number.    In its simplest form, the VLOOKUP function says:    =VLOOKUP(Value you want to look up, range where you want to lookup the value, the column number in the range containing the return value, Exact Match or Approximate Match ? indicated as 0/FALSE or 1/TRUE).        This video is part of a training course called VLOOKUP: When and how to use it.                  Tip:?The secret to VLOOKUP is to organize your data so that the value you look up (part number) is to the left of the return value you want to find (price of the part).      ",Learn about VLOOKUP                            Build your knowledge of VLOOKUP with LinkedIn Learning. Learn how to use VLOOKUP to  join data from separate sources using a common lookup value.                      Watch free preview >                                                                    ,"                                        Technical details                            Use the VLOOKUP function to look up a value in a table.                  Syntax                          VLOOKUP (lookup_value, table_array, col_index_num, [range_lookup])                For example:                    =VLOOKUP(105,A2:C7,2,TRUE)                                =VLOOKUP(""Fontana"",B2:E7,2,FALSE)                                                    Argument name                                                                              Description                                                                            lookup_value??? (required)                                            The value you want to look up. The value you want to look up must be in the first column of the range of cells you specify in table-array .                For example, if table-array spans cells B2:D7, then your lookup_value must be in column B. See the graphic below. Lookup_value can be a value or a reference to a cell.                                                            table_array??? (required)                                            The range of cells in which the VLOOKUP will search for the lookup_value and the return value.                The first column in the cell range must contain the lookup_value (for example, Last Name in the picture below.) The cell range also needs to include the return value (for example, First Name in the graphic below) you want to find.                Learn how to select ranges in a worksheet.                                                            col_index_num??? (required)                                            The column number (starting with 1 for the left-most column of table-array) that contains the return value.                                                            range_lookup???(optional)                                            A logical value that specifies whether you want VLOOKUP to find an approximate or an exact match:                                                          TRUE assumes the first column in the table is sorted either numerically or alphabetically, and will then search for the closest value. This is the default method if you don't specify one.                                                                              FALSE searches for the exact value in the first column.                                                    "
HLOOKUP,"	    This article describes the formula syntax and usage of the HLOOKUP?function in Microsoft Excel.  ","Description    Searches for a value in the top row of a table or an array of values, and then returns a value in the same column from a row you specify in the table or array. Use HLOOKUP when your comparison values are located in a row across the top of a table of data, and you want to look down a specified number of rows. Use VLOOKUP when your comparison values are located in a column to the left of the data you want to find.    The H in HLOOKUP stands for ""Horizontal.""  ","Syntax    HLOOKUP(lookup_value, table_array, row_index_num, [range_lookup])    The HLOOKUP function syntax has the following arguments:                      Lookup_value????Required. The value to be found in the first row of the table. Lookup_value can be a value, a reference, or a text string.                              Table_array????Required. A table of information in which data is looked up. Use a reference to a range or a range name.                    The values in the first row of table_array can be text, numbers, or logical values.                                If range_lookup is TRUE, the values in the first row of table_array must be placed in ascending order: ...-2, -1, 0, 1, 2,... , A-Z, FALSE, TRUE; otherwise, HLOOKUP may not give the correct value. If range_lookup is FALSE, table_array does not need to be sorted.                                Uppercase and lowercase text are equivalent.                                Sort the values in ascending order, left to right. For more information, see Sort data in a range or table.                                          Row_index_num????Required. The row number in table_array from which the matching value will be returned. A row_index_num of 1 returns the first row value in table_array, a row_index_num of 2 returns the second row value in table_array, and so on. If row_index_num is less than 1, HLOOKUP returns the #VALUE! error value; if row_index_num is greater than the number of rows on table_array, HLOOKUP returns the #REF! error value.                              Range_lookup????Optional. A logical value that specifies whether you want HLOOKUP to find an exact match or an approximate match. If TRUE or omitted, an approximate match is returned. In other words, if an exact match is not found, the next largest value that is less than lookup_value is returned. If FALSE, HLOOKUP will find an exact match. If one is not found, the error value #N/A is returned.          "
MATCH,"The MATCH function searches for a specified item in a range of cells, and then returns the relative position of that item in the range. For example, if the range A1:A3 contains the values 5, 25, and 38, then the formula =MATCH(25,A1:A3,0) returns the number 2, because 25 is the second item in the range.                      Tip:?Use MATCH instead of one of the LOOKUP functions when you need the position of an item in a range instead of the item itself. For example, you might use the MATCH function to provide a value for the row_num argument of the INDEX function.      ","Syntax    MATCH(lookup_value, lookup_array, [match_type])    The MATCH function syntax has the following arguments:                      lookup_value????Required. The value that you want to match in lookup_array. For example, when you look up someone's number in a telephone book, you are using the person's name as the lookup value, but the telephone number is the value you want.The lookup_value argument can be a value (number, text, or logical value) or a cell reference to a number, text, or logical value.                              lookup_array????Required. The range of cells being searched.                              match_type????Optional. The number -1, 0, or 1. The match_type argument specifies how Excel matches lookup_value with values in lookup_array. The default value for this argument is 1.The following table describes how the function finds values based on the setting of the match_type argument.                                    Match_type                                                          Behavior                                          1 or omitted                                              MATCH finds the largest value that is less than or equal to lookup_value. The values in the lookup_array argument must be placed in ascending order, for example: ...-2, -1, 0, 1, 2, ..., A-Z, FALSE, TRUE.                              0                                              MATCH finds the first value that is exactly equal to lookup_value. The values in the lookup_array argument can be in any order.                              -1                                              MATCH finds the smallest value that is greater than or equal tolookup_value. The values in the lookup_array argument must be placed in descending order, for example: TRUE, FALSE, Z-A, ...2, 1, 0, -1, -2, ..., and so on.                                    MATCH returns the position of the matched value within lookup_array, not the value itself. For example, MATCH(""b"",{""a"",""b"",""c""},0) returns 2, which is the relative position of ""b"" within the array {""a"",""b"",""c""}.                              MATCH does not distinguish between uppercase and lowercase letters when matching text values.                    If MATCH is unsuccessful in finding a match, it returns the #N/A error value.                    If match_type is 0 and lookup_value is a text string, you can use the wildcard characters?? the question mark (?) and asterisk (*)?? in the lookup_value argument. A question mark matches any single character; an asterisk matches any sequence of characters. If you want to find an actual question mark or asterisk, type a tilde (~) before the character.          ","Example    Copy the example data in the following table, and paste it in cell A1 of a new Excel worksheet. For formulas to show results, select them, press F2, and then press Enter. If you need to, you can adjust the column widths to see all the data.                              Product                                                          Count                                                    Bananas                                25                                        Oranges                                38                                        Apples                                40                                        Pears                                41                                                      Formula                                                          Description                                                          Result                                          =MATCH(39,B2:B5,1)                                Because there is not an exact match, the position of the next lowest value (38) in the range B2:B5 is returned.                                2                              =MATCH(41,B2:B5,0)                                The position of the value 41 in the range B2:B5.                                4                              =MATCH(40,B2:B5,-1)                                Returns an error because the values in the range B2:B5 are not in descending order.                                #N/A                  "
INDEX,"The INDEX function returns a value or the reference to a value from within a table or range.        There are two ways to use the INDEX function:            If you want to return the value of a specified cell or array of cells, see Array form.                    If you want to return a reference to specified cells, see Reference form.          ","Description      Returns the value of an element in a table or an array, selected by the row and column number indexes.      Use the array form if the first argument to INDEX is an array constant.    ","Syntax      INDEX(array, row_num, [column_num])      The INDEX function syntax has the following arguments.                            Array????Required. A range of cells or an array constant.                        If array contains only one row or column, the corresponding Row_num or Column_num argument is optional.                                      If array has more than one row and more than one column, and only Row_num or Column_num is used, INDEX returns an array of the entire row or column in array.                                                    Row_num????Required. Selects the row in array from which to return a value. If Row_num is omitted, Column_num is required.                                      Column_num????Optional. Selects the column in array from which to return a value. If Column_num is omitted, Row_num is required.              "
PMT,"      PMT, one of the financial functions, calculates the payment for a loan based on constant payments and a constant interest rate.        Use the Excel Formula Coach to figure out a monthly loan payment. At the same time, you'll learn how to use the PMT function in a formula.  ",,"Syntax    PMT(rate, nper, pv, [fv], [type])                  Note:?For a more complete description of the arguments in PMT, see the PV function.        The PMT function syntax has the following arguments:                      Rate????Required. The interest rate for the loan.                              Nper????Required. The total number of payments for the loan.                              Pv????Required. The present value, or the total amount that a series of future payments is worth now; also known as the principal.                              Fv????Optional. The future value, or a cash balance you want to attain after the last payment is made. If fv is omitted, it is assumed to be 0 (zero), that is, the future value of a loan is 0.                              Type????Optional. The number 0 (zero) or 1 and indicates when payments are due.                                    Set type equal to                                                          If payments are due                                          0 or omitted                                At the end of the period                              1                                At the beginning of the period                  "
PV,"      PV, one of the financial functions, calculates the present value of a loan or an investment, based on a constant interest rate. You can use PV with either periodic, constant payments (such as a mortgage or other loan), or a future value that's your investment goal.        Use the Excel Formula Coach to find the present value (loan amount) you can afford, based on a set monthly payment. At the same time, you'll learn how to use the PV function in a formula.    Or, use the Excel Formula Coach to find the present value of your financial investment goal.  ","Syntax    PV(rate, nper, pmt, [fv], [type])    The PV function syntax has the following arguments:                      Rate????Required. The interest rate per period. For example, if you obtain an automobile loan at a 10 percent annual interest rate and make monthly payments, your interest rate per month is 10%/12, or 0.83%. You would enter 10%/12, or 0.83%, or 0.0083, into the formula as the rate.                              Nper????Required. The total number of payment periods in an annuity. For example, if you get a four-year car loan and make monthly payments, your loan has 4*12 (or 48) periods. You would enter 48 into the formula for nper.                              Pmt????Required. The payment made each period and cannot change over the life of the annuity. Typically, pmt includes principal and interest but no other fees or taxes. For example, the monthly payments on a $10,000, four-year car loan at 12 percent are $263.33. You would enter -263.33 into the formula as the pmt. If pmt is omitted, you must include the fv argument.                              Fv????Optional. The future value, or a cash balance you want to attain after the last payment is made. If fv is omitted, it is assumed to be 0 (the future value of a loan, for example, is 0). For example, if you want to save $50,000 to pay for a special project in 18 years, then $50,000 is the future value. You could then make a conservative guess at an interest rate and determine how much you must save each month. If fv is omitted, you must include the pmt argument.                              Type????Optional. The number 0 or 1 and indicates when payments are due.                                    Set type equal to                                                          If payments are due                                          0 or omitted                                At the end of the period                              1                                At the beginning of the period                  ","Remarks            Make sure that you are consistent about the units you use for specifying rate and nper. If you make monthly payments on a four-year loan at 12 percent annual interest, use 12%/12 for rate and 4*12 for nper. If you make annual payments on the same loan, use 12% for rate and 4 for nper.                    The following functions apply to annuities:                       CUMIPMT                                PPMT                              CUMPRINC                                PV                              FV                                RATE                              FVSCHEDULE                                XIRR                              IPMT                                XNPV                              PMT                                              An annuity is a series of constant cash payments made over a continuous period. For example, a car loan or a mortgage is an annuity. For more information, see the description for each annuity function.                    In annuity functions, cash you pay out, such as a deposit to savings, is represented by a negative number; cash you receive, such as a dividend check, is represented by a positive number. For example, a $1,000 deposit to the bank would be represented by the argument -1000 if you are the depositor and by the argument 1000 if you are the bank.                    Microsoft Excel solves for one financial argument in terms of the others. If rate is not 0, then:                 If rate is 0, then:          (pmt * nper) + pv + fv = 0  "
FV,"      FV, one of the financial functions, calculates the future value of an investment based on a constant interest rate. You can use FV with either periodic, constant payments, or a single lump sum payment.        Use the Excel Formula Coach to find the future value of a series of payments. At the same time, you'll learn how to use the FV function in a formula.    Or, use the Excel Formula Coach to find the future value of a single, lump sum payment.  ","Syntax    FV(rate,nper,pmt,[pv],[type])    For a more complete description of the arguments in FV and for more information on annuity functions, see PV.    The FV function syntax has the following arguments:                      Rate????Required. The interest rate per period.                              Nper????Required. The total number of payment periods in an annuity.                              Pmt????Required. The payment made each period; it cannot change over the life of the annuity. Typically, pmt contains principal and interest but no other fees or taxes. If pmt is omitted, you must include the pv argument.                              Pv????Optional. The present value, or the lump-sum amount that a series of future payments is worth right now. If pv is omitted, it is assumed to be 0 (zero), and you must include the pmt argument.                              Type????Optional. The number 0 or 1 and indicates when payments are due. If type is omitted, it is assumed to be 0.                                    Set type equal to                                                          If payments are due                                          0                                At the end of the period                              1                                At the beginning of the period                  ","Remarks            Make sure that you are consistent about the units you use for specifying rate and nper. If you make monthly payments on a four-year loan at 12 percent annual interest, use 12%/12 for rate and 4*12 for nper. If you make annual payments on the same loan, use 12% for rate and 4 for nper.                    For all the arguments, cash you pay out, such as deposits to savings, is represented by negative numbers; cash you receive, such as dividend checks, is represented by positive numbers.          "
NPER,This article describes the formula syntax and usage of the NPER?function in Microsoft Excel.  ,"Description    Returns the number of periods for an investment based on periodic, constant payments and a constant interest rate.  ","Syntax    NPER(rate,pmt,pv,[fv],[type])    For a more complete description of the arguments in NPER and for more information about annuity functions, see PV.    The NPER function syntax has the following arguments:                      Rate????Required. The interest rate per period.                              Pmt????Required. The payment made each period; it cannot change over the life of the annuity. Typically, pmt contains principal and interest but no other fees or taxes.                              Pv????Required. The present value, or the lump-sum amount that a series of future payments is worth right now.                              Fv????Optional. The future value, or a cash balance you want to attain after the last payment is made. If fv is omitted, it is assumed to be 0 (the future value of a loan, for example, is 0).                              Type????Optional. The number 0 or 1 and indicates when payments are due.                                    Set type equal to                                                          If payments are due                                          0 or omitted                                At the end of the period                              1                                At the beginning of the period                  "
IRR,This article describes the formula syntax and usage of the IRR?function in Microsoft Excel.  ,"Description    Returns the internal rate of return for a series of cash flows represented by the numbers in values. These cash flows do not have to be even, as they would be for an annuity. However, the cash flows must occur at regular intervals, such as monthly or annually. The internal rate of return is the interest rate received for an investment consisting of payments (negative values) and income (positive values) that occur at regular periods.  ","Syntax    IRR(values, [guess])    The IRR function syntax has the following arguments:                      Values????Required. An array or a reference to cells that contain numbers for which you want to calculate the internal rate of return.                    Values must contain at least one positive value and one negative value to calculate the internal rate of return.                                IRR uses the order of values to interpret the order of cash flows. Be sure to enter your payment and income values in the sequence you want.                                If an array or reference argument contains text, logical values, or empty cells, those values are ignored.                                          Guess????Optional. A number that you guess is close to the result of IRR.                    Microsoft Excel uses an iterative technique for calculating IRR. Starting with guess, IRR cycles through the calculation until the result is accurate within 0.00001 percent. If IRR can't find a result that works after 20 tries, the #NUM! error value is returned.                                In most cases you do not need to provide guess for the IRR calculation. If guess is omitted, it is assumed to be 0.1 (10 percent).                                If IRR gives the #NUM! error value, or if the result is not close to what you expected, try again with a different value for guess.                      "
RATE,This article describes the formula syntax and usage of the RATE?function in Microsoft Excel.  ,"Description    Returns the interest rate per period of an annuity. RATE is calculated by iteration and can have zero or more solutions. If the successive results of RATE do not converge to within 0.0000001 after 20 iterations, RATE returns the #NUM! error value.  ","Syntax    RATE(nper, pmt, pv, [fv], [type], [guess])                  Note:?For a complete description of the arguments nper, pmt, pv, fv, and type, see PV.        The RATE function syntax has the following arguments:                      Nper????Required. The total number of payment periods in an annuity.                              Pmt????Required. The payment made each period and cannot change over the life of the annuity. Typically, pmt includes principal and interest but no other fees or taxes. If pmt is omitted, you must include the fv argument.                              Pv????Required. The present value ? the total amount that a series of future payments is worth now.                              Fv????Optional. The future value, or a cash balance you want to attain after the last payment is made. If fv is omitted, it is assumed to be 0 (the future value of a loan, for example, is 0). If fv is omitted, you must include the pmt argument.                              Type????Optional. The number 0 or 1 and indicates when payments are due.                                    Set type equal to                                                          If payments are due                                          0 or omitted                                At the end of the period                              1                                At the beginning of the period                                    Guess????Optional. Your guess for what the rate will be.                    If you omit guess, it is assumed to be 10 percent.                                If RATE does not converge, try different values for guess. RATE usually converges if guess is between 0 and 1.                      "
NPV,This article describes the formula syntax and usage of the NPV function in Microsoft Excel.,Calculates the net present value of an investment by using a discount rate and a series of future payments (negative values) and income (positive values).,"Syntax

NPV(rate,value1,[value2],...)

The NPV function syntax has the following arguments:

Rate    Required. The rate of discount over the length of one period.

Value1, value2, ...    Value1 is required, subsequent values are optional. 1 to 254 arguments representing the payments and income.

Value1, value2, ... must be equally spaced in time and occur at the end of each period.

NPV uses the order of value1, value2, ... to interpret the order of cash flows. Be sure to enter your payment and income values in the correct sequence.

Arguments that are empty cells, logical values, or text representations of numbers, error values, or text that cannot be translated into numbers are ignored.

If an argument is an array or reference, only numbers in that array or reference are counted. Empty cells, logical values, text, or error values in the array or reference are ignored."
RAND,This article describes the formula syntax and usage of the RAND?function in Microsoft Excel.  ,Description    Returns an evenly distributed random real number greater than or equal to 0 and less than 1. A new random real number is returned every time the worksheet is calculated.  ,Syntax    RAND()    The RAND function syntax has no arguments.  
